#DO NOT EDIT THIS FILE
#SERIOUSLY. DON'T.
#Pattern: enemy_id=vx1,vx2,vx3....
dummy=-0.75,-1.25,0.6,-1.25,1.25,0.0,0.6,1.25,-0.75,1.25,-1.25,0.75,-1.25,-0.75
big_dummy=-1.0,-1.0,0.0,-1.0,1.0,0.0,0.0,1.0,-1.0,1.0
black_interceptor=-2.0,-1.0,1.75,-1.0,2.0,0.0,1.75,1.0,-2.0,1.0
green_tank=-2.0,-1.0,2.0,-1.0,2.0,1.0,-2.0,1.0
blue_cruiser=-0.75,-0.75,0.75,-0.75,0.75,0.75,-0.75,0.75
purple_bomber=-0.75,-0.75,0.75,-0.75,0.75,0.75,-0.75,0.75
first_line=-3.0,-1.0,3.0,-1.0,3.0,1.0,-3.0,1.0
rock=-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
bat=-0.75,-0.75,0.75,-0.75,0.75,0.75,-0.75,0.75
slime=-0.75,-0.75,0.75,-0.75,0.75,0.75,-0.75,0.75
dorver=-2.0,-2.0,2.0,-2.0,2.0,2.0,-2.0,2.0
wyvern=-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
anathor=-1.5,-2.5,1.5,-2.5,1.5,2.5,-1.5,2.5
alarm=-0.75,-0.75,0.75,-0.75,0.75,0.75,-0.75,0.75
guard=-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
worker=-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
protector=-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
ochita=-4.0,-1.5,4.0,-1.5,4.0,1.5,-4.0,1.5
ochita_barrier=-2.0,-1.0,2.0,-1.0,2.0,1.0,-2.0,1.0
player=-1.0,-1.75,1.0,-1.0,1.0,1.0,-1.0,1.75,-1.75,0.25,-1.75,-0.25
powerup=-0.5,-0.5,0.5,-0.5,0.5,0.5,-0.5,0.5
