#DO NOT EDIT THIS FILE
#SERIOUSLY. DON'T.
#Pattern: enemy_id=vx1,vx2,vx3....
dummy=-0.75,-1.25,0.6,-1.25,1.25,0.0,0.6,1.25,-0.75,1.25,-1.25,0.75,-1.25,-0.75
big_dummy=-1.0,-1.0,0.0,-1.0,1.0,0.0,0.0,1.0,-1.0,1.0
black_interceptor=-2.0,-1.0,1.75,-1.0,2.0,0.0,1.75,1.0,-2.0,1.0
green_tank=-2.0,-1.0,2.0,-1.0,2.0,1.0,-2.0,1.0
blue_cruiser=-0.75,-0.75,0.75,-0.75,0.75,0.75,-0.75,0.75
purple_bomber=-0.75,-0.75,0.75,-0.75,0.75,0.75,-0.75,0.75
first_line=-3.0,-1.0,3.0,-1.0,3.0,1.0,-3.0,1.0
rock=-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
player=-1.0,-1.75,1.0,-1.0,1.0,1.0,-1.0,1.75,-1.75,0.25,-1.75,-0.25
TRIGUN=-0.5,-0.5,0.5,-0.5,0.5,0.5,-0.5,0.5
AUTOGUN=-0.5,-0.5,0.5,-0.5,0.5,0.5,-0.5,0.5
HEALTH10=-0.5,-0.5,0.5,-0.5,0.5,0.5,-0.5,0.5
HEAVYGUN=-0.5,-0.5,0.5,-0.5,0.5,0.5,-0.5,0.5
